,SP500,Strategy_original,strategy_adjust
0,0.0,,
1,-0.5552893274894611,,
2,-0.40777022124842266,0.024844109746517073,
3,-0.4195649320979875,-0.24241784855651805,
4,-0.47275896070457013,-0.3521539998576134,
5,-0.5304606497673854,-0.39153536862507654,
6,-0.5339865336375444,-0.3223567151610668,
7,-0.4409922095411041,-0.1550657151551853,
8,-0.3062073272396152,0.0936994045772146,
9,-0.2709461591627025,0.09210215555863521,
10,-0.10637246276513468,0.3182444407000782,
11,-0.09036872542464158,0.2752380011443001,
12,-0.21670656123593612,0.040050963818307084,
13,-0.08350453625441412,0.2645477498105191,
14,-0.04963365892843985,0.32369934931771094,
15,0.13932950693950108,0.7603204636526915,
16,0.12170844684911275,0.7367958349340296,
17,0.037751397961685695,0.5272874189108745,
18,0.010068319728820496,0.456193909517953,
19,-0.04935178604614765,0.29119685240422966,-0.451891872530241
20,-0.00023878794800868963,0.4280222705418426,-0.09305938539609804
21,-0.00034188731754491997,0.4276642158157833,-0.09419582274897309
22,0.05902718616766078,0.6301934210629754,0.7583269360703544
23,0.05014361522024835,0.4341340338532069,0.45679939619215215
24,0.05903100911737269,0.34233338630093035,0.45679939619215215
25,-0.05824449711574553,-0.007249392652899478,-0.20752586175298893
26,-0.12429360730259609,-0.13936612890610223,-0.3269709151347332
27,-0.14069589813437944,-0.16492391867695122,-0.29695241456150623
28,-0.43276935846384224,-0.6296714054473329,-0.8602769450697115
29,-0.5511224738646165,-0.7766903021876125,-0.9485730100443378
30,-0.45614726354806234,-0.6852397244745847,-0.8987150083747063
31,-0.48190488780941887,-0.6547180597607509,-0.8129462368117746
32,-0.331309666763169,-0.33043461965595233,-0.15265587765798072
33,-0.32518091980181885,-0.2812753150352676,-0.10849004439576804
34,-0.4133054163079334,-0.42210213730574975,-0.43799032430410745
35,-0.40672716494463557,-0.36803878421319125,-0.3367751903673001
36,-0.4233361458492214,-0.36661004234129235,-0.3438405279349709
37,-0.4451725143350176,-0.37801850597471465,-0.3704572116736137
38,-0.5799594640044826,-0.612174261130308,-0.7033257829945034
39,-0.4920279143757237,-0.480218469876713,-0.5261098372029327
40,-0.5579867980901079,-0.6061294633945404,-0.6958980699118799
41,-0.5743640589103529,-0.6451903827512786,-0.7426625048401705
42,-0.504581277889102,-0.5459175116140256,-0.6182208017111233
43,-0.44946106137173913,-0.4610853741222386,-0.4978988383880073
44,-0.3925024609108938,-0.3633454149437,-0.34445657688759057
45,-0.41599907883434084,-0.4242541957438176,-0.4418857210345096
46,-0.38309395902793997,-0.37089831055507005,-0.35685652884495134
47,-0.3465745711574919,-0.3054142482074501,-0.24642381302998073
48,-0.2293417966127861,-0.03089647552507946,0.28433122099082686
49,-0.2393928007623416,-0.06877027573244776,0.2049108479800068
50,-0.28424226204252134,-0.19580156493708434,-0.04723903006586039
51,-0.3800161560551051,-0.42720024920753186,-0.44644773190185016
52,-0.4062846014188286,-0.4922506278682932,-0.5435350190238061
53,-0.35626696463079066,-0.3431926289737486,-0.3046573492749465
54,-0.34145625336084806,-0.280599921516519,-0.2121522517226999
55,-0.40527443364653104,-0.40576367550652925,-0.42087654953049736
56,-0.4662554353565369,-0.5036676253753365,-0.5556828417664115
57,-0.45002939427532596,-0.4363982776414558,-0.4573937123434826
58,-0.46657742230749344,-0.44389884988001693,-0.46635249826131564
59,-0.4079741914436291,-0.28159345064259667,-0.23117531664626434
60,-0.3911154489630919,-0.22491108707246377,-0.15571641568214212
61,-0.2984090526826503,0.032909918852612075,0.23768725484214004
62,-0.3033284830263535,0.004736163102385893,0.16216947434135087
63,-0.2661013134623448,0.09628552624383424,0.298825928047034
64,-0.21613455999688402,0.23213589065726392,0.5209508592076195
65,-0.34411937114730096,-0.13449702832707144,-0.056297240970914486
66,-0.3454323635121538,-0.14853636817648186,-0.07692169269083948
67,-0.41969711411326727,-0.3390731372075724,-0.34445252480340116
68,-0.409629355088057,-0.3264624265994509,-0.3274981672405016
69,-0.40627231749283554,-0.32903456870343795,-0.3309653959612797
70,-0.385044989630948,-0.2616177812716385,-0.24103444976986255
71,-0.38150547590604134,-0.24127517004047971,-0.21716167293591926
72,-0.4346109854087423,-0.3561750080295082,-0.37243819007222057
73,-0.4862807285993378,-0.4522779592907419,-0.4914073664949371
74,-0.4814800717884836,-0.4220475449127077,-0.4519797181523053
75,-0.5145359548421096,-0.47419539458059445,-0.51321302874063
76,-0.5455306170465262,-0.5184934331313268,-0.5627720608582949
77,-0.5834971999768981,-0.5736618268839413,-0.6229110869772848
78,-0.629080476237017,-0.639022758932432,-0.691758188840292
79,-0.5316472524438351,-0.41721912162760744,-0.43229885643101673
