trade_date,open,high,low,close,vol
20200110,3281.810059,3282.98999,3260.860107,3265.350098,1631680402
20200109,3266.030029,3275.580078,3263.669922,3274.699951,3638390000
20200108,3238.590088,3267.070068,3236.669922,3253.050049,3720890000
20200107,3241.860107,3244.909912,3232.429932,3237.179932,3420380000
20200106,3217.550049,3246.840088,3214.639893,3246.280029,3674070000
20200103,3226.360107,3246.149902,3222.340088,3234.850098,3461290000
20200102,3244.669922,3258.139893,3235.530029,3257.850098,3458250000
20191231,3215.179932,3231.719971,3212.030029,3230.780029,2893810000
20191230,3240.090088,3240.919922,3216.570068,3221.290039,3013290000
20191227,3247.22998,3247.929932,3234.3701170000004,3240.02002,2428670000
20191226,3227.199951,3240.080078,3227.199951,3239.909912,2160680000
20191224,3225.449951,3226.429932,3220.51001,3223.3798829999996,1296540000
20191223,3226.050049,3227.780029,3222.300049,3224.01001,3060610000
20191220,3223.330078,3225.649902,3216.030029,3221.219971,6454270000
20191219,3192.320068,3205.47998,3192.320068,3205.3701170000004,3720450000
20191218,3195.209961,3198.47998,3191.139893,3191.139893,4014080000
20191217,3195.399902,3198.219971,3191.030029,3192.52002,3837540000
20191216,3183.6298829999996,3197.709961,3183.6298829999996,3191.449951,4051790000
20191213,3166.649902,3182.679932,3156.51001,3168.800049,3736870000
20191212,3141.22998,3176.280029,3138.469971,3168.570068,3990690000
20191211,3135.75,3143.97998,3133.209961,3141.6298829999996,3252540000
20191210,3135.360107,3142.1201170000004,3126.090088,3132.52002,3343790000
20191209,3141.860107,3148.8701170000004,3135.459961,3135.959961,3345990000
20191206,3134.6201170000004,3150.600098,3134.6201170000004,3145.909912,3479480000
20191205,3119.209961,3119.449951,3103.76001,3117.429932,3355750000
20191204,3103.5,3119.3798829999996,3102.530029,3112.76001,3695030000
20191203,3087.409912,3094.969971,3070.330078,3093.199951,3653390000
20191202,3143.850098,3144.310059,3110.780029,3113.8701170000004,3268740000
20191129,3147.179932,3150.300049,3139.340088,3140.97998,1743020000
20191127,3145.48999,3154.26001,3143.409912,3153.6298829999996,3033090000
20191126,3134.850098,3142.689941,3131.0,3140.52002,4595590000
20191125,3117.439941,3133.830078,3117.439941,3133.639893,3511530000
20191122,3111.409912,3112.8701170000004,3099.26001,3110.290039,3226780000
20191121,3108.48999,3110.110107,3094.550049,3103.540039,3720560000
20191120,3114.659912,3118.969971,3091.409912,3108.459961,4034890000
20191119,3127.449951,3127.639893,3113.469971,3120.179932,3590070000
20191118,3117.909912,3124.169922,3112.060059,3122.030029,3436690000
20191115,3107.919922,3120.459961,3104.600098,3120.459961,3335650000
20191114,3090.75,3098.199951,3083.26001,3096.6298829999996,3276070000
20191113,3084.179932,3098.060059,3078.800049,3094.040039,3509280000
20191112,3089.280029,3102.610107,3084.72998,3091.840088,3466010000
20191111,3080.330078,3088.330078,3075.820068,3087.01001,3035530000
20191108,3081.25,3093.090088,3073.580078,3093.080078,3499150000
20191107,3087.02002,3097.77002,3080.22998,3085.179932,4144640000
20191106,3075.100098,3078.340088,3065.889893,3076.780029,4458190000
20191105,3080.800049,3083.949951,3072.149902,3074.6201170000004,4486130000
20191104,3078.959961,3085.199951,3074.8701170000004,3078.27002,4146850000
20191101,3050.719971,3066.949951,3050.719971,3066.909912,3930200000
20191031,3046.899902,3046.899902,3023.189941,3037.560059,4139280000
20191030,3039.73999,3050.100098,3025.959961,3046.77002,3776030000
20191029,3035.389893,3047.8701170000004,3034.810059,3036.889893,3589930000
20191028,3032.1201170000004,3044.080078,3032.1201170000004,3039.419922,3521230000
20191025,3003.320068,3027.389893,3001.939941,3022.550049,3370370000
20191024,3014.780029,3016.070068,3000.419922,3010.290039,3692600000
20191023,2994.01001,3004.780029,2991.209961,3004.52002,3392870000
20191022,3010.72998,3014.570068,2995.040039,2995.98999,3523890000
20191021,2996.47998,3007.330078,2995.350098,3006.719971,3271620000
20191018,2996.840088,3000.0,2976.310059,2986.199951,3264290000
20191017,3000.77002,3008.290039,2991.790039,2997.949951,3115960000
20191016,2989.679932,2997.540039,2985.199951,2989.689941,3222570000
20191015,2973.610107,3003.280029,2973.610107,2995.679932,3340740000
20191014,2965.810059,2972.840088,2962.939941,2966.149902,2557020000
20191011,2963.070068,2993.280029,2963.070068,2970.27002,3580460000
20191010,2918.550049,2948.459961,2917.1201170000004,2938.1298829999996,3217250000
20191009,2911.100098,2929.320068,2907.409912,2919.399902,2726820000
20191008,2920.399902,2925.469971,2892.659912,2893.060059,3356450000
20191007,2944.22998,2959.75,2935.679932,2938.790039,2940140000
20191004,2918.560059,2953.73999,2918.560059,2952.01001,2990830000
20191003,2885.3798829999996,2911.1298829999996,2855.939941,2910.6298829999996,3503640000
20191002,2924.780029,2924.780029,2874.929932,2887.610107,3912520000
20191001,2983.689941,2992.530029,2938.699951,2940.25,3558040000
20190930,2967.070068,2983.850098,2967.070068,2976.73999,3247610000
20190927,2985.469971,2987.310059,2945.530029,2961.790039,3243650000
20190926,2985.72998,2987.280029,2963.709961,2977.6201170000004,3077240000
20190925,2968.350098,2989.820068,2952.860107,2984.8701170000004,3318870000
20190924,3002.429932,3007.97998,2957.72998,2966.600098,3868160000
20190923,2983.5,2999.149902,2982.22998,2991.780029,3186590000
20190920,3008.419922,3016.3701170000004,2984.679932,2992.070068,6094740000
20190919,3010.360107,3021.98999,3003.159912,3006.790039,3251290000
20190918,3001.5,3007.830078,2978.570068,3006.72998,3435540000
20190917,2995.669922,3006.209961,2993.72998,3005.699951,3671840000
20190916,2996.409912,3002.189941,2990.669922,2997.959961,4274640000
20190913,3012.209961,3017.330078,3002.899902,3007.389893,3520060000
20190912,3009.080078,3020.73999,3000.919922,3009.570068,3791860000
20190911,2981.409912,3000.929932,2975.310059,3000.929932,3927550000
20190910,2971.01001,2979.389893,2957.01001,2979.389893,4390770000
20190909,2988.429932,2989.429932,2969.389893,2978.429932,4002890000
20190906,2980.330078,2985.030029,2972.51001,2978.709961,3208280000
20190905,2960.600098,2985.860107,2960.600098,2976.0,3890700000
20190904,2924.669922,2938.840088,2921.860107,2937.780029,3163260000
20190903,2909.01001,2914.389893,2891.850098,2906.27002,3426790000
20190830,2937.090088,2940.429932,2913.320068,2926.459961,3008450000
20190829,2910.3701170000004,2930.5,2905.669922,2924.580078,3176190000
20190828,2861.280029,2890.030029,2853.050049,2887.939941,3097420000
20190827,2893.139893,2898.790039,2860.590088,2869.159912,3533630000
20190826,2866.699951,2879.27002,2856.0,2878.3798829999996,2857600000
20190823,2911.070068,2927.01001,2834.969971,2847.110107,3937300000
20190822,2930.939941,2939.080078,2904.51001,2922.949951,2890880000
20190821,2922.040039,2928.72998,2917.909912,2924.429932,3011190000
20190820,2919.01001,2923.6298829999996,2899.600098,2900.51001,3066300000
20190819,2913.47998,2931.0,2913.47998,2923.649902,3212880000
20190816,2864.73999,2893.6298829999996,2864.73999,2888.679932,3498150000
20190815,2846.199951,2856.669922,2825.51001,2847.600098,4038000000
20190814,2894.149902,2894.149902,2839.639893,2840.600098,4312530000
20190813,2880.719971,2943.310059,2877.050049,2926.320068,3853600000
20190812,2907.070068,2907.580078,2873.139893,2882.699951,2851630000
20190809,2930.51001,2935.75,2900.149902,2918.649902,3350640000
20190808,2896.209961,2938.719971,2894.469971,2938.090088,4106370000
20190807,2858.649902,2892.169922,2825.709961,2883.97998,4491750000
20190806,2861.179932,2884.399902,2847.419922,2881.77002,4154240000
20190805,2898.070068,2898.070068,2822.1201170000004,2844.73999,4513730000
20190802,2943.899902,2945.5,2914.110107,2932.050049,3874660000
20190801,2980.320068,3013.590088,2945.22998,2953.560059,4762300000
20190731,3016.219971,3017.399902,2958.080078,2980.3798829999996,4623430000
20190730,3007.659912,3017.189941,3000.939941,3013.179932,3634330000
20190729,3024.469971,3025.610107,3014.300049,3020.969971,3203710000
20190726,3013.25,3027.97998,3012.590088,3025.860107,3257590000
20190725,3016.26001,3016.310059,2997.23999,3003.669922,3645270000
20190724,2998.77002,3019.590088,2996.820068,3019.560059,3428980000
