Date,US High Yied,US Investment Grade,Emerging Investment Grade,Emerging High Yield OAS,Emerging Investment Grade OAS,US High Yield OAS,US Investment Grade OAS,US 10 Year -2 Year Gov Spread
20200204,2188.97,204.39,526.844,6.39,1.36,3.72,1.1,18.4134
20200203,2184.9099,205.32,528.2544,6.55,1.4,3.83,1.13,16.8204
20200131,2183.3501,205.17,528.2468,6.53,1.4,3.9,1.13,18.7634
20200130,2183.6799,204.89,527.2715,6.48,1.39,3.82,1.11,16.8845
20200129,2187.2,204.86,526.5925,6.38,1.38,3.71,1.09,16.5184
20200128,2185.49,204.13,525.3831,6.33,1.36,3.71,1.09,18.9725
20200127,2177.74,204.46,525.1157,6.39,1.39,3.85,1.1,16.3051
20200124,2188.95,204.1,524.37,6.22,1.34,3.56,1.04,18.5442
20200123,2193.21,203.44,523.5853,6.14,1.32,3.4,1.04,21.671999999999997
20200122,2197.1599,203.22,523.2965,6.07,1.29,3.32,1.02,23.875
20200121,2198.0801,202.97,522.9241,6.05,1.3,3.2,1.02,23.9739
20200117,2198.28,201.96,521.7468,5.94,1.27,3.2,1.02,26.0172
20200116,2198.26,201.99,522.0543,5.97,1.28,3.19,1.05,23.9621
20200115,2196.97,202.06,521.7747,6.02,1.3,3.22,1.06,22.7295
20200114,2195.73,201.62,520.898,6.03,1.3,3.22,1.06,23.682
20200113,2194.4299,201.31,520.3371,5.89,1.29,3.15,1.05,25.752
20200110,2192.25,201.58,520.3408,6.02,1.3,3.27,1.05,24.7396
20200109,2190.6899,200.83,519.7781,5.97,1.3,3.31,1.06,27.2005
20200108,2189.8899,200.22,519.4893,6.03,1.29,3.29,1.07,28.5419
20200107,2189.74,200.86,519.8331,6.11,1.32,3.32,1.08,27.3325
20200106,2188.45,201.22,519.6487,6.16,1.34,3.29,1.07,26.2463
20200103,2187.1499,201.81,519.8104,6.15,1.35,3.35,1.05,25.7481
20200102,2185.3301,200.83,518.5089,6.04,1.31,3.31,1.03,30.6124
20191231,2182.77,200.47,518.2479,6.1,1.29,3.36,1.01,34.4416
20191230,2182.4299,200.73,518.44,6.11,1.31,3.3,1.02,30.7538
20191227,2182.6299,200.96,518.5014,6.0,1.31,3.3,1.02,29.0069
20191226,2181.45,200.39,517.7055,6.01,1.3,3.24,1.03,25.9439
20191224,2180.3999,200.32,517.9283,6.04,1.29,3.26,1.03,27.4631
20191223,2180.3601,199.91,517.3531,6.07,1.28,3.17,1.03,27.3012
20191220,2178.6101,200.12,517.3977,6.1,1.29,3.24,1.03,28.5606
20191219,2177.8899,200.15,517.4388,6.14,1.29,3.26,1.03,28.9518
20191218,2177.1399,199.8,517.5536,6.13,1.28,3.22,1.04,28.4095
20191217,2172.6001,200.05,517.6997,6.22,1.3,3.26,1.05,25.3614
20191216,2167.95,199.94,517.0582,6.31,1.31,3.26,1.06,23.8893
20191213,2163.8101,200.61,517.373,6.38,1.35,3.38,1.07,21.2747
20191212,2159.26,199.25,515.8888,6.38,1.32,3.39,1.08,22.9928
20191211,2154.6699,200.53,516.7499,6.54,1.38,3.53,1.11,17.1944
20191210,2152.3701,199.93,515.7064,6.53,1.37,3.51,1.1,18.7892
20191209,2149.74,199.87,515.3267,6.54,1.38,3.5,1.11,20.1946
20191206,2147.5701,199.49,514.5698,6.58,1.39,3.6,1.11,21.7401
20191205,2143.1599,199.78,514.9238,6.64,1.41,3.72,1.13,21.3949
20191204,2140.9099,199.77,514.7475,6.66,1.43,3.78,1.15,19.5883
20191203,2136.6001,200.53,515.3199,6.76,1.47,3.91,1.17,17.3653
20191202,2138.1699,198.86,513.6024,6.6,1.41,3.75,1.16,21.2907
20191129,2139.99,199.83,515.0875,6.68,1.42,3.7,1.15,15.9884
20191127,2139.3501,199.85,514.8139,6.63,1.43,3.73,1.15,13.7546
20191126,2137.1201,200.05,515.1527,6.65,1.45,3.81,1.16,15.5532
20191125,2134.24,199.5,514.4863,6.65,1.43,3.76,1.17,13.7589
20191122,2130.95,199.07,513.9549,6.64,1.44,3.91,1.18,14.0805
20191121,2129.48,198.89,513.6692,6.66,1.44,3.96,1.2,16.3603
20191120,2130.3401,199.4,513.6738,6.69,1.47,3.97,1.19,16.5054
20191119,2132.75,198.96,512.7212,6.63,1.45,3.92,1.17,18.4438
20191118,2135.5701,198.6,512.7172,6.55,1.43,3.81,1.16,21.5198
20191115,2135.8701,198.25,512.2488,6.42,1.43,3.79,1.17,21.8564
20191114,2134.8601,198.47,512.4283,6.43,1.43,3.82,1.16,22.4904
20191113,2135.9399,197.78,511.24,6.42,1.41,3.77,1.15,24.3908
20191112,2137.76,197.34,510.8394,6.34,1.39,3.62,1.14,27.0397
20191108,2136.99,196.89,510.3853,6.27,1.38,3.69,1.15,26.1338
20191107,2138.6699,197.0,510.6301,6.25,1.38,3.63,1.15,24.3977
20191106,2137.9399,198.22,512.3979,6.35,1.43,3.75,1.17,21.569000000000003
20191105,2139.47,197.42,511.5286,6.39,1.41,3.7,1.18,22.781999999999996
20191104,2140.4399,198.36,513.3686,6.42,1.43,3.61,1.19,19.078
20191101,2135.5701,198.98,514.2596,6.5,1.46,3.85,1.21,15.4227
20191031,2133.02,199.33,514.2703,6.57,1.48,3.92,1.21,16.3084
20191030,2136.2,198.07,512.2882,6.49,1.44,3.74,1.2,16.9899
20191029,2139.04,197.64,512.1041,6.41,1.4,3.63,1.17,19.0964
20191028,2139.4199,197.45,511.7781,6.39,1.4,3.54,1.16,19.6445
20191025,2138.3301,197.88,512.4136,6.4,1.42,3.6,1.19,17.0701
20191024,2135.6799,198.13,512.821,6.44,1.44,3.72,1.21,18.635
20191023,2134.6299,198.13,512.8861,6.47,1.44,3.75,1.21,17.8579
20191022,2133.5601,198.15,512.8414,6.48,1.44,3.77,1.21,16.2182
20191021,2133.3799,197.62,511.9142,6.48,1.44,3.7,1.21,17.7988
20191018,2131.8101,197.9,512.3945,6.56,1.46,3.83,1.23,17.5889
20191017,2131.52,197.73,512.1762,6.54,1.46,3.8,1.24,14.7779
20191016,2129.77,197.68,512.4490000000001,6.58,1.46,3.79,1.26,15.198
20191015,2128.05,197.39,512.06,6.52,1.46,3.73,1.26,14.6842
20191011,2123.47,197.25,511.3731,6.51,1.47,3.9,1.27,12.9471
20191010,2118.76,197.91,512.5897,6.62,1.52,4.07,1.32,12.1713
20191009,2117.8,198.73,513.7498,6.71,1.56,4.13,1.33,11.5982
20191008,2116.04,199.27,514.5363,6.73,1.58,4.18,1.35,10.5441
20191007,2118.99,199.28,514.5512,6.67,1.56,4.09,1.33,9.2216
20191004,2116.98,199.78,514.9103,6.72,1.59,4.19,1.33,11.9303
20191003,2114.6499,199.42,513.6154,6.76,1.6,4.2,1.34,14.2067
20191002,2116.97,198.66,512.2682,6.6,1.57,4.09,1.32,11.9157
20191001,2125.47,198.52,512.241,6.56,1.53,3.86,1.29,8.7357
20190930,2127.1499,198.13,512.0241,6.51,1.49,3.73,1.28,3.8837
20190927,2127.3601,198.03,512.0295,6.52,1.48,3.77,1.28,4.8278
20190926,2129.51,197.93,511.7745,6.54,1.47,3.73,1.28,3.4643
20190925,2130.8301,197.2,511.2286,6.52,1.45,3.7,1.28,5.3963
20190924,2134.03,198.69,513.1732,6.54,1.47,3.7,1.27,1.5794
20190923,2134.8301,197.85,512.9581,6.45,1.42,3.6,1.25,4.1394
20190920,2134.0901,197.14,512.0244,6.37,1.41,3.59,1.27,3.2297
20190919,2133.8501,196.76,511.0939,6.37,1.4,3.55,1.26,4.2071
20190918,2133.22,196.27,510.3789,6.31,1.4,3.56,1.27,2.9904
20190917,2134.04,195.77,509.36199999999997,6.37,1.42,3.6,1.29,7.2386
20190916,2133.8799,195.43,508.8902,6.36,1.4,3.56,1.28,8.327
20190913,2129.21,194.51,508.5013,6.3,1.35,3.61,1.28,9.1781
20190912,2130.3799,195.91,511.3535,6.31,1.37,3.65,1.29,5.0247
20190911,2129.21,196.51,511.5323,6.38,1.41,3.72,1.3,6.2281
20190910,2129.6499,196.8,512.2908,6.39,1.42,3.68,1.31,5.1512
20190909,2127.6599,198.05,513.9552,6.42,1.45,3.72,1.31,4.8949
20190906,2125.1499,198.94,515.1733,6.54,1.48,3.85,1.32,1.3906
20190905,2122.72,198.44,515.4722,6.52,1.45,3.88,1.33,2.8494
20190904,2119.6699,199.82,517.1457,6.69,1.51,4.06,1.35,3.1781
20190903,2116.8401,199.7,516.3552,6.78,1.51,3.96,1.35,0.3348
20190902,2119.4299,199.42,515.1198,6.75,1.52,3.94,1.34,-0.5282
20190830,2119.4299,199.42,515.1198,6.81,1.51,3.93,1.33,-1.3912
20190829,2118.6101,199.32,514.4042,6.76,1.51,3.92,1.32,-2.9452
20190828,2115.8501,199.91,514.0007,6.74,1.55,3.99,1.33,-2.6563
20190827,2113.99,199.72,512.6183,6.67,1.56,4.01,1.31,-5.3309
20190826,2111.76,198.82,511.1528,6.58,1.55,4.0,1.31,-0.6097
20190823,2109.0801,199.14,511.3824,6.53,1.56,4.07,1.31,-0.0196
20190822,2110.8999,198.07,510.0543,6.43,1.53,3.93,1.3,-0.1031
20190821,2107.72,198.46,510.1226,6.57,1.56,3.97,1.31,0.9832
20190820,2101.4299,198.31,510.2544,6.65,1.58,4.22,1.35,3.9446
20190819,2099.25,197.62,509.6754,6.59,1.55,4.18,1.34,5.9
20190816,2093.9299,198.28,510.8297,6.56,1.58,4.37,1.37,7.3425
20190815,2090.3201,198.33,510.2667,6.6,1.59,4.44,1.38,2.3103
20190814,2090.5601,197.81,509.0227,6.55,1.57,4.39,1.37,0.0101
20190813,2099.73,196.82,506.8095,6.34,1.56,4.09,1.34,3.2861
20190812,2096.3601,197.29,506.9092,6.23,1.58,4.24,1.34,5.7713
20190809,2097.5701,195.95,505.9433,5.6,1.53,4.15,1.33,9.4061
20190808,2097.71,196.18,505.8712,5.64,1.55,4.16,1.32,9.4355
20190807,2088.3701,196.32,505.1474,5.74,1.6,4.4,1.36,12.5263
20190806,2092.71,195.78,502.8022,5.71,1.6,4.31,1.32,11.5217
20190805,2089.5601,195.58,502.751,5.69,1.59,4.37,1.32,13.2237
20190802,2104.1299,194.87,501.8144,5.43,1.51,3.97,1.25,13.1365
20190801,2109.3999,194.74,501.1899,5.33,1.5,3.88,1.22,15.7511
20190731,2110.98,193.34,499.7825,5.15,1.41,3.71,1.19,14.0295
20190730,2109.4299,192.82,499.0427,5.16,1.42,3.71,1.19,21.0036
20190729,2111.24,193.06,499.1834,5.17,1.42,3.67,1.18,20.1077
20190726,2110.6499,192.71,498.5558,5.15,1.41,3.64,1.18,21.4391
20190725,2108.26,192.64,498.6855,5.16,1.41,3.67,1.18,21.3072
20190724,2107.46,192.83,498.6301,5.19,1.44,3.72,1.2,22.2861
20190723,2104.79,192.38,497.7482,5.17,1.44,3.75,1.21,24.1684
20190722,2102.22,192.58,497.7653,5.23,1.47,3.79,1.22,23.2031
20190719,2100.3101,192.33,497.4241,5.23,1.47,3.84,1.23,23.0741
20190718,2100.03,192.31,497.3717,5.26,1.48,3.86,1.25,26.6251
20190717,2103.6799,192.1,497.2903,5.2,1.46,3.77,1.24,22.9912
20190716,2104.97,191.32,496.6366,5.16,1.43,3.71,1.23,25.0754
20190715,2105.26,191.67,496.9291,5.18,1.44,3.71,1.23,25.7654
20190712,2103.46,191.4,496.2689,5.19,1.44,3.71,1.23,27.2735
20190711,2103.1399,191.19,496.0173,5.16,1.44,3.73,1.23,27.1203
20190710,2104.27,191.86,496.5498,5.21,1.47,3.72,1.24,23.1574
20190709,2101.75,191.99,496.6513,5.18,1.45,3.74,1.24,15.4111
20190708,2104.05,192.36,497.3596,5.19,1.46,3.68,1.23,15.5515
20190705,2104.6201,192.11,496.9243,5.12,1.46,3.66,1.23,16.846
20190703,2105.2,193.32,498.0364,5.2,1.51,3.71,1.23,18.4138
20190702,2103.0801,192.88,497.2233,5.22,1.51,3.76,1.23,20.8707
20190701,2103.2,192.19,496.2021,5.19,1.5,3.67,1.23,23.4797
20190628,2099.1499,192.27,495.4486,5.33,1.54,3.77,1.25,24.8197
20190627,2096.5701,191.99,494.7998,5.28,1.55,3.81,1.26,26.5081
20190626,2097.0,191.25,493.8958,5.32,1.53,3.74,1.27,27.3886
20190625,2097.5801,191.85,494.5903,5.4,1.56,3.78,1.28,24.9037
20190624,2100.9299,191.8,494.4527,5.36,1.55,3.62,1.26,27.9833
20190621,2099.6399,190.89,493.7759,5.32,1.52,3.61,1.27,28.2036
20190620,2099.99,191.35,495.3628,5.33,1.53,3.54,1.3,24.4721
20190619,2087.79,190.38,492.6457,5.47,1.58,3.84,1.36,28.2058
20190618,2084.3101,189.78,491.3113,5.49,1.58,3.87,1.37,19.1189
20190617,2079.29,189.14,489.8119,5.57,1.6,3.92,1.39,21.9325
20190614,2078.6101,188.93,489.6827,5.56,1.6,3.95,1.39,23.5791
20190613,2079.1001,188.94,489.8799,5.56,1.6,3.95,1.39,25.4741
20190612,2078.23,188.46,489.5937,5.52,1.57,3.96,1.39,23.9816
20190611,2079.24,188.45,489.4774,5.56,1.55,3.89,1.38,21.1405
20190610,2076.9299,188.35,489.2186,5.6,1.57,3.93,1.38,24.2721
20190607,2071.1399,188.69,488.8822,5.69,1.63,4.07,1.41,22.7511
20190606,2064.3501,187.94,488.0503,5.73,1.62,4.2,1.43,23.6701
20190605,2061.74,187.87,487.8406,5.77,1.62,4.24,1.43,27.5828
20190604,2057.9399,187.86,486.6845,5.83,1.65,4.28,1.44,24.2236
20190603,2050.4199,188.28,486.2994,5.92,1.69,4.43,1.46,23.5384
20190531,2052.3701,187.68,485.3481,5.8,1.65,4.33,1.44,20.0188
20190530,2059.3401,186.96,484.5653,5.65,1.6,4.12,1.4,15.0393
20190529,2057.04,186.52,484.2544,5.68,1.59,4.14,1.42,14.9518
20190528,2063.4099,186.56,483.6807,5.63,1.58,4.0,1.39,13.7171
20190524,2063.4099,185.95,482.5335,5.56,1.56,3.93,1.37,15.3999
20190523,2062.8,186.33,482.6529,5.59,1.58,3.98,1.37,16.8354
20190522,2067.9099,185.52,481.811,5.44,1.52,3.88,1.33,15.7255
20190521,2068.22,185.26,481.2908,5.4,1.51,3.85,1.32,16.666
20190520,2066.4199,185.41,481.1023,5.48,1.53,3.89,1.32,19.2883
20190517,2065.3799,185.68,481.2426,5.48,1.54,3.93,1.32,18.8633
20190516,2065.28,185.56,481.2359,5.45,1.53,3.92,1.31,20.0142
20190515,2061.3601,185.7,481.231,5.51,1.55,4.01,1.32,21.1624
20190514,2062.24,185.23,480.4671,5.49,1.54,3.96,1.32,20.9747
20190513,2059.9299,185.31,480.6955,5.51,1.54,3.99,1.33,21.1034
20190510,2066.8201,184.98,480.4798,5.36,1.51,3.82,1.3,19.6959
20190509,2068.1101,184.97,480.284,5.37,1.51,3.78,1.3,18.0236
20190508,2072.74,184.96,480.2427,5.28,1.48,3.67,1.27,18.486
20190507,2073.2,185.42,480.7086,5.29,1.49,3.68,1.27,16.8171
20190506,2076.0,184.94,480.3698,5.24,1.47,3.59,1.26,17.6514
20190503,2077.3899,184.73,480.1408,5.28,1.44,3.54,1.25,19.0028
20190502,2075.3899,184.42,479.5133,5.28,1.44,3.55,1.25,19.4506
20190501,2078.0901,185.09,480.2427,5.32,1.46,3.53,1.24,19.355
20190430,2077.0601,185.03,480.254,5.37,1.46,3.58,1.23,23.3681
20190429,2076.5,184.67,479.6886,5.38,1.45,3.56,1.22,23.0983
20190426,2074.6599,185.02,479.6569,5.43,1.47,3.59,1.22,21.4143
20190425,2073.9099,184.6,478.6292,5.41,1.47,3.56,1.22,19.8584
20190424,2074.3201,184.7,478.9931,5.34,1.47,3.55,1.22,19.8333
20190423,2072.8101,184.07,477.9655,5.18,1.46,3.54,1.23,19.9041
20190422,2070.49,183.78,477.3206,5.16,1.45,3.54,1.23,19.9842
20190418,2070.4399,184.2,477.4867,5.17,1.47,3.54,1.22,17.7351
20190417,2071.1599,183.88,476.7564,5.1,1.46,3.49,1.21,19.174
20190416,2072.22,183.85,476.4305,5.1,1.46,3.46,1.21,17.5952
20190415,2071.1201,184.23,476.7353,5.15,1.48,3.5,1.21,16.0695
20190412,2069.8201,184.01,476.56,5.15,1.48,3.49,1.21,16.9644
20190411,2066.1299,184.18,477.3877,5.18,1.5,3.58,1.24,14.0941
20190410,2062.55,184.27,477.8269,5.16,1.51,3.66,1.27,14.1647
20190409,2060.8601,183.92,477.6984,5.13,1.51,3.67,1.28,14.8919
20190408,2059.9199,183.55,477.0424,5.12,1.51,3.66,1.29,15.8321
20190405,2058.1499,183.64,476.8237,5.08,1.52,3.68,1.29,15.2004
20190404,2055.24,183.35,476.4705,5.07,1.53,3.72,1.31,17.614
20190403,2054.8401,183.19,476.2704,5.07,1.53,3.73,1.31,18.3192
20190402,2052.3101,183.47,476.4102,5.13,1.55,3.77,1.33,16.9705
20190401,2051.76,183.26,476.1041,5.11,1.55,3.76,1.33,16.628
20190329,2047.9399,184.03,476.9626,5.2,1.57,3.91,1.34,13.8965
20190328,2043.71,184.18,477.0099,5.31,1.58,4.02,1.34,15.6667
20190327,2042.86,184.24,477.3848,5.31,1.58,4.02,1.34,16.252
20190326,2042.02,183.75,476.6294,5.16,1.56,4.01,1.33,15.4741
20190325,2039.26,183.61,475.851,5.18,1.58,4.02,1.34,15.2552
20190322,2040.89,183.14,475.3055,5.07,1.56,3.94,1.33,11.8276
20190321,2042.9301,182.07,474.0237,4.88,1.52,3.8,1.33,12.6488
20190320,2039.4301,181.85,472.3534,4.93,1.57,3.86,1.34,12.6
20190319,2038.17,181.12,471.3981,4.86,1.54,3.82,1.33,13.9541
20190318,2036.45,181.18,471.2269,4.89,1.55,3.84,1.34,14.9086
20190315,2035.21,181.07,470.67,4.94,1.57,3.88,1.35,14.7288
20190314,2033.79,180.58,469.85699999999997,4.97,1.57,3.86,1.35,16.3444
20190313,2032.09,180.85,469.8951,5.03,1.59,3.88,1.36,15.0289
20190312,2027.6801,180.98,469.7979,5.04,1.6,3.96,1.36,14.482000000000001
20190311,2023.9,180.35,468.8018,5.07,1.6,3.99,1.37,16.2031
20190308,2020.39,180.42,468.2333,5.15,1.62,4.04,1.38,16.1404
20190307,2025.4,180.43,468.2195,5.11,1.61,3.96,1.36,16.3868
20190306,2027.38,179.91,467.6143,4.97,1.58,3.86,1.35,17.52
20190305,2029.03,179.71,466.957,4.94,1.58,3.81,1.34,16.8228
20190304,2030.26,179.71,467.07300000000004,4.92,1.58,3.78,1.33,17.9778
20190301,2029.65,179.23,466.6981,4.87,1.56,3.76,1.33,19.8258
20190228,2028.86,179.53,467.3912,4.84,1.57,3.79,1.34,19.8848
20190227,2027.24,179.49,467.3014,4.85,1.59,3.83,1.37,18.2451
20190226,2025.3101,180.12,467.42,4.9,1.63,3.87,1.37,15.181
20190225,2023.04,179.76,466.7991,4.89,1.62,3.88,1.37,15.4795
20190222,2019.77,179.72,466.4893,4.94,1.64,3.95,1.39,15.4427
20190221,2018.25,179.29,465.7619,4.95,1.63,3.94,1.39,16.0693
20190220,2017.4301,179.75,466.5472,5.01,1.64,3.98,1.39,14.5092
20190219,2014.9399,179.88,466.5023,5.01,1.65,4.01,1.39,14.2606
20190215,2012.74,179.66,465.8406,5.0,1.65,4.02,1.38,14.2315
20190214,2009.5601,179.53,465.8633,5.0,1.65,4.07,1.39,15.3938
20190213,2009.41,179.25,465.3415,4.95,1.63,4.02,1.37,16.7498
20190212,2008.21,179.37,465.1138,5.02,1.65,4.05,1.38,17.9799
20190211,2002.92,179.5,465.1828,5.08,1.67,4.15,1.39,16.6162
20190208,2001.5,179.71,465.5762,4.86,1.68,4.22,1.4,16.4827
20190207,2003.4301,179.51,465.7056,4.89,1.66,4.16,1.39,17.3671
20190206,2009.5601,179.26,465.42800000000005,4.84,1.63,4.0,1.36,16.6304
20190205,2007.3101,179.28,465.5491,4.84,1.62,4.02,1.35,17.2043
20190204,2000.41,178.75,464.3761,4.91,1.64,4.11,1.37,18.5102
20190201,1998.17,178.89,464.4292,4.97,1.66,4.16,1.39,17.6191
20190131,1995.67,179.14,464.4333,5.04,1.7,4.23,1.41,16.9599
20190130,1986.64,178.09,462.032,5.16,1.71,4.3,1.44,16.7416
20190129,1982.36,177.83,461.9689,5.16,1.7,4.34,1.44,13.5187
20190128,1980.75,177.43,461.8162,5.1,1.68,4.33,1.45,15.2212
20190125,1982.4301,177.31,462.0605,5.04,1.66,4.29,1.45,15.0015
20190124,1977.95,177.44,462.0749,5.11,1.69,4.4,1.48,14.9408
20190123,1978.9301,176.86,460.9653,5.15,1.69,4.34,1.48,15.3818
20190122,1979.83,176.82,460.694,5.27,1.71,4.33,1.51,15.014000000000001
20190118,1982.64,176.13,459.8994,5.23,1.7,4.22,1.52,16.6128
20190117,1976.59,175.9,459.5899,5.36,1.74,4.32,1.58,18.4641
20190116,1975.25,175.8,459.3611,5.38,1.75,4.36,1.6,17.6805
20190115,1969.3,175.68,459.0149,5.48,1.78,4.46,1.63,17.2411
20190114,1966.92,175.67,458.569,5.52,1.79,4.52,1.63,16.541
20190111,1969.14,175.89,458.3258,5.51,1.8,4.44,1.63,15.5816
20190110,1967.8199,175.55,457.9933,5.49,1.79,4.45,1.64,16.4545
20190109,1967.12,175.74,458.5805,5.56,1.78,4.45,1.63,15.5087
20190108,1957.67,175.46,458.0775,5.67,1.8,4.57,1.68,13.8354
20190107,1947.64,175.5,458.0186,5.7,1.83,4.73,1.71,15.135
20190104,1932.54,175.32,456.9647,5.84,1.88,4.98,1.74,17.1906
20190103,1912.37,176.17,456.9899,6.04,1.96,5.37,1.77,17.2861
20190102,1910.52,175.34,455.0179,5.98,1.93,5.27,1.73,14.8774
20181231,1909.36,175.03,454.6293,5.94,1.91,5.26,1.72,19.2331
20181228,1906.39,174.59,454.2208,5.88,1.87,5.22,1.7,19.803
20181227,1899.5601,174.58,453.9422,5.91,1.87,5.31,1.71,20.2091
20181226,1896.4,174.28,453.3677,5.88,1.85,5.3,1.68,18.8829
20181224,1898.08,174.89,454.00300000000004,5.88,1.87,5.3,1.68,17.057000000000002
20181221,1904.4301,174.63,453.5653,5.84,1.85,5.14,1.65,14.7084
20181220,1907.9399,174.88,453.8127,5.78,1.84,5.08,1.64,13.5689
20181219,1932.6899,175.6,454.4892,5.74,1.84,4.75,1.59,10.6929
20181218,1937.74,175.07,454.0995,5.72,1.81,4.64,1.58,17.144000000000002
20181217,1946.08,174.72,453.7975,5.7,1.82,4.47,1.56,16.1243
20181214,1950.5601,174.41,453.0502,5.66,1.81,4.37,1.56,15.4374
20181213,1953.5,174.13,452.5715,5.62,1.8,4.3,1.55,14.6996
20181212,1952.79,173.95,451.8322,5.68,1.82,4.31,1.57,13.520999999999999
20181211,1947.61,173.84,451.0175,5.73,1.85,4.39,1.6,11.2861
20181210,1944.24,173.78,450.8516,5.75,1.87,4.46,1.63,12.8015
20181207,1948.3199,173.81,450.8791,5.71,1.87,4.4,1.62,13.2104
20181206,1944.49,173.48,449.8937,5.73,1.87,4.4,1.63,13.3434
20181205,1950.395,173.52499999999998,449.84075,5.675000000000001,1.85,4.29,1.6,11.6844
20181204,1956.3,173.57,449.7878,5.62,1.83,4.18,1.57,11.6844
20181203,1959.51,173.04,449.2666,5.56,1.8,4.09,1.53,14.6595
20181130,1951.14,172.49,447.536,5.67,1.82,4.18,1.54,19.9375
20181129,1950.58,172.5,447.1735,5.67,1.82,4.18,1.52,21.9103
20181128,1948.73,172.58,446.1615,5.73,1.84,4.2,1.5,24.8299
20181127,1942.3101,172.66,445.3887,5.77,1.85,4.26,1.49,22.2204
20181126,1945.27,172.82,445.577,5.69,1.84,4.22,1.47,21.9107
20181123,1942.6801,172.84,446.0094,5.65,1.83,4.26,1.48,22.5417
20181121,1945.5,172.79,446.2209,5.6,1.82,4.18,1.47,24.6773
20181120,1940.96,172.63,446.00199999999995,5.63,1.83,4.25,1.5,25.7004
20181119,1946.5,172.9,447.0532,5.48,1.8,4.18,1.47,27.1436
20181116,1948.39,172.87,447.1817,5.4,1.77,4.12,1.44,25.8883
20181115,1951.67,172.42,446.3189,5.35,1.77,4.04,1.44,25.2324
20181114,1958.78,173.0,446.9089,5.28,1.74,3.92,1.38,25.4541
20181113,1966.0699,173.18,446.9688,5.21,1.71,3.78,1.34,24.4419
20181109,1973.92,173.18,447.1976,5.07,1.66,3.61,1.29,25.3711
20181108,1981.27,172.94,447.2357,5.0,1.63,3.47,1.27,26.8254
20181107,1980.27,173.1,447.6493,5.0,1.63,3.5,1.27,27.4703
20181106,1975.01,172.84,447.4504,5.03,1.64,3.59,1.29,29.552
20181105,1973.21,172.69,447.3707,5.07,1.65,3.63,1.31,28.921999999999997
20181102,1971.6899,172.37,447.1077,5.1,1.64,3.63,1.32,30.4669
20181101,1969.71,172.87,447.51300000000003,5.24,1.68,3.72,1.35,28.3796
20181031,1968.0699,172.78,447.2995,5.24,1.67,3.71,1.33,27.259
20181030,1963.9399,173.24,448.0689,5.24,1.67,3.8,1.34,26.7901
20181029,1967.85,173.7,448.8448,5.2,1.67,3.77,1.32,26.4555
20181026,1967.28,173.78,449.4134,5.21,1.66,3.78,1.32,26.5219
20181025,1972.41,173.45,449.029,5.15,1.62,3.64,1.32,26.6004
20181024,1975.77,173.6,449.1823,5.12,1.62,3.6,1.29,26.895
20181023,1974.8199,173.27,448.7058,5.08,1.6,3.57,1.29,28.4346
20181022,1981.4301,173.26,448.7385,4.99,1.57,3.44,1.26,28.5465
20181019,1981.2,173.22,448.8782,4.99,1.56,3.43,1.25,28.4082
20181018,1982.11,173.61,449.7646,4.99,1.55,3.43,1.25,29.8235
20181017,1986.77,173.7,450.6055,4.95,1.53,3.36,1.23,31.445
20181016,1987.23,173.96,450.8153,4.97,1.53,3.36,1.23,29.3657
20181015,1984.08,173.83,450.1523,5.02,1.55,3.41,1.23,29.6535
20181012,1982.23,174.1,450.4073,5.07,1.55,3.44,1.23,30.4321
20181011,1979.25,174.24,450.4325,5.13,1.55,3.48,1.22,29.7297
20181010,1979.22,173.37,449.7692,5.05,1.51,3.4,1.2,31.6707
20181009,1986.14,173.74,449.9727,5.03,1.51,3.31,1.19,31.7067
20181005,1991.3101,173.47,450.2369,5.0,1.48,3.2,1.18,34.3684
20181004,1995.13,173.86,450.9477,4.97,1.48,3.16,1.18,31.4929
20181003,2004.36,174.31,452.8982,4.85,1.45,3.03,1.17,30.5262
20181002,2004.71,175.45,454.1202,4.93,1.49,3.1,1.18,24.824
20181001,2003.87,175.19,453.7781,4.9,1.48,3.09,1.17,26.0659
20180928,2000.04,175.34,453.962,5.12,1.5,3.16,1.19,23.8309
20180927,1998.2,175.33,453.835,5.05,1.5,3.18,1.18,22.0776
20180926,1997.12,175.15,453.1518,5.16,1.52,3.18,1.2,22.9181
20180925,1995.9399,174.63,451.6632,5.17,1.52,3.17,1.19,25.3239
20180924,1996.4301,174.87,451.986,5.19,1.53,3.18,1.19,26.7745
20180921,1996.64,174.99,451.9011,5.21,1.53,3.17,1.19,25.8632
20180920,1996.37,174.82,451.2573,5.29,1.54,3.16,1.19,25.5025
20180919,1996.61,174.45,450.8369,5.42,1.54,3.15,1.21,26.7709
20180918,1997.3,174.76,451.2861,5.51,1.55,3.15,1.21,25.2138
20180917,1996.28,175.33,451.9856,5.51,1.56,3.18,1.21,20.6719
20180914,1995.28,175.3,452.0211,5.54,1.56,3.19,1.21,21.4036
20180913,1994.47,175.52,452.0554,5.64,1.59,3.24,1.23,20.9403
20180912,1991.72,175.36,451.1433,5.76,1.61,3.28,1.24,21.0437
20180911,1989.3101,175.04,450.6923,5.82,1.61,3.3,1.25,22.7551
20180910,1988.11,175.37,451.2612,5.82,1.63,3.35,1.26,21.6496
20180907,1986.28,175.09,451.5427,5.75,1.61,3.36,1.27,23.2108
